"id","date","type","feature_type","feature_subtype","description","detail","lon","lat"
251,2021-10-18 14:00:00,"hazard-concern","crossing issue","signal - pedestrian interval too short","Most people crossing the road press the button and give up waiting and just cross. But for those who do, if you're pushing a stroller or carrying packages, it's common for the light to have already changed before you reach the other side. ","signal - pedestrian interval too short",-77.0686161640396,38.8009640007565
253,2021-10-19 00:29:54,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Stop is treated as a merge for right turns","drivers don't stop or yield to pedestrians",-80.5050535514434,43.4589329551409
254,2021-10-19 01:04:26,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","This is a crosswalk across a 4-lane entrance/exit to a highway. It feels extremely unsafe, even with the walk light. There is a pedestrian bridge but it is only for the state legislative building. ","drivers don't stop or yield to pedestrians",-72.6840946207074,41.7632949978986
255,2021-10-19 01:12:02,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","This is a crosswalk across a busy intersection on a road leading to a highway. It feels extremely unsafe, even with the walk light. There is no alternative means if you want to use the pedestrian bridge to bushnell park. ","drivers don't stop or yield to pedestrians",-72.6866469516025,41.7637853772262
256,2021-10-19 01:12:02,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","This whole intersection is a pedestrian nightmare it is scary crossing any direction. Cars come from every direction very quickly. I think this is a primary reason for reduced pedestrian traffic to businesses to the southeast. ","drivers don't stop or yield to pedestrians",-72.6815535197604,41.7626750639064
257,2021-10-19 01:38:26,"hazard-concern","crossing issue","crosswalk markings no longer visible","To access the sidewalk, to Victoria General Hospital, from the bus stop, pedestrians must cross the slip road for Northbound traffic on the Trans Canada Hwy.
This crossing is not controlled and the markings are hardly visible.
Most vehicles at this point are traveling at highway speeds and many just refuse to stop.","crosswalk markings no longer visible",-123.431007630792,48.4645953881655
258,2021-10-19 03:24:09,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Cars use this as a cut through and the street gets wider here","vehicles - speed makes uncomfortable",-118.033886908488,33.7811194311442
260,2021-10-19 04:00:47,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","I walk my dog every night and cross at this intersection. There is a crosswalk but almost ALL cars carry on through without stopping. I have a flashlight and have lots of reflective bits; I am not invisible. Tonight someone stopped for me after the car in front of them blew through. Most nights no one stops. Pedestrian activated flashing lights might help.","drivers don't stop or yield to pedestrians",-123.403347474049,48.6380682613417
262,2021-10-18 22:16:00,"hazard-concern","safety/comfort concern","other","Dangerous pothole!","safety/comfort concern (other)",-61.5128172809654,10.6499079468317
263,2021-10-19 11:28:16,"hazard-concern","safety/comfort concern","other","Pothole ","safety/comfort concern (other)",-61.5164326341682,10.6537291932297
264,2021-10-18 23:28:00,"hazard-concern","safety/comfort concern","personal safety - gathering of unknown people","Nightly prostitution. ","personal safety - gathering of unknown people",-61.5157671993178,10.6548937380968
269,2021-10-18 14:30:00,"hazard-concern","side walk infrastructure issue","obstruction - pole (hydro, telephone)","There is a hydro pole in the middle of the sidewalk, which means anyone with a mobility device will not be able to use this side of the road.","obstruction - pole (hydro, telephone)",-123.424441987957,48.4681913955744
286,2021-10-19 23:20:45,"hazard-concern","crossing issue","crosswalk markings no longer visible","Approximately 75% of the crosswalk has disappeared and needs repainting at this busy intersection with giant cement trucks frequently turning in and out of Lafarge Canada.","crosswalk markings no longer visible",-123.374490075575,48.4350449455163
290,2021-10-20 02:20:45,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","This intersection needs upgrading and slip lanes need to be removed. Slip lanes are designed to maintain high vehicle speeds around corners which is not conducive to a vibrant or safe pedestrian realm.","vehicles - speed makes uncomfortable",-123.368788518425,48.420671996444
294,2021-10-21 21:37:59,"hazard-concern","crossing issue","crosswalk needed","There is no safe way to cross Cadboro Bay Rd. to access the beach at the bottom of Tudor.","crosswalk needed",-123.287951354841,48.4595559850198
296,2021-10-21 21:45:34,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","There is no sidewalk or safe shoulder and cars travel at far to fast a speed down the hill. This is an important walking and cycling connecting for families / children accessing Doncaster Elementary and a connection to the Cedar Hill chip trail.","vehicles - speed makes uncomfortable",-123.340711150341,48.4576525906895
297,2021-10-21 21:37:59,"hazard-concern","safety/comfort concern","other","This intersection has poor visibility due to the hill and hedges so cars crossing or turning left from Cedar Hill X onto Cadboro Bay Rd. must move quickly and without clear sight lines. This creates confusion and many failed attempts by cars to accelerate. The slip lanes allow cars turning to keep high speeds. Cyclists must navigate all this without lanes of any kind. Pedestrians can only cross at the southern side of the intersection; there are no sidewalks on the north side at all.","safety/comfort concern (other)",-123.302592427067,48.4538908855972
298,2021-10-21 21:49:37,"hazard-concern","safety/comfort concern","other","Parked cars on side of road and no sidewalks create single lane traffic and danger for pedestrians or those using wheelchairs and walkers going between the park (with senior/LTC housing) and the galloping goose trail safe transit to local malls. 
Almost all sidewalks in this area are quite old and unsafe and only a few roads even have sidewalks. In the narrow single lane areas, cars must go behind pedestrians… often leading  to impatience especially when waiting on a pedestrian with a walker. ","safety/comfort concern (other)",-123.382593776983,48.4577353925874
299,2021-10-21 21:37:59,"hazard-concern","safety/comfort concern","other","The alignment of the vehicle entrance to the village plaza parking lot is very awkward in relation to the crosswalk across Penrhyn. Vehicles turning left from Cadboro Bay onto Penrhyn to access the parking lot often cut off pedestrians.","safety/comfort concern (other)",-123.29660606518,48.4614060465377
300,2021-10-21 23:32:40,"hazard-concern","crossing issue","poor visibility of pedestrians","Cars always come speeding up a hill here and can't see above the peak of the hill.  A 30 km speed recommendation for this stretch of road is rarely followed.  Anyone wanting to cross at or around Union Rd has to take their chances and run across Blenkinsop.  ","poor visibility of pedestrians",-123.350138677271,48.4651926849942
301,2021-10-22 11:53:10,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Shoulder of road very narrow for walking, no sidewalk, traffic often runs over 30km limit, no signage advising motorists to watch for pedestrians.","vehicles - speed makes uncomfortable",-53.978784437391,47.7715507052704
302,2021-10-22 17:00:15,"hazard-concern","side walk infrastructure issue","other","There is no safe sidewalk/walkway for pedestrians on the west side of Cadboro Bay Rd between Sinclair and Penrhyn, and no crosswalk on the west side to cross at Penrhyn.","side walk infrastructure issue (other)",-123.297282599935,48.4613626301441
304,2021-10-22 17:00:15,"hazard-concern","safety/comfort concern","vehicles - number makes uncomfortable","The pedestrian/cycle path into UVic campus from the northwest dumps everyone into the parking lot where they have to contend with cars before accessing the sidewalk on McGill Rd.","vehicles - number makes uncomfortable",-123.317778628914,48.4665808707844
305,2021-10-22 20:58:18,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Shelbourne speed limit should be reduced to no more than 40 kms/hr because ""sidewalk"" on West side is totally inadequate (too narrow, too broken up) and could cause falling, tripping into traffic. ","vehicles - speed makes uncomfortable",-123.33303147311,48.4546109691809
307,2021-10-22 21:57:58,"hazard-concern","safety/comfort concern","other","Bicycles going north west on Arbutus and then turning left onto Finnerty turn onto the sea rated bike path on the left side of Finnerty but cars turning right from Finnerty to Arbutus assume bikes are going to the vehicle travel lane on the right side of Finnerty. As a result cars turning right almost collide with cyclists turning left ","safety/comfort concern (other)",-123.303045839874,48.470646393728
309,2021-10-26 17:32:37,"hazard-concern","crossing issue","poor visibility of pedestrians","There are shrubs that block the view of pedestrians trying to cross by drivers. Must step out onto roadway to be seen by drivers. ","poor visibility of pedestrians",-123.37873373627,48.4313129544919
310,2021-10-26 00:25:00,"hazard-concern","side walk infrastructure issue","obstruction - vegetaion that narrows pathway","Dangerous Holly bush has overgrown sidewalk at face level.","obstruction - vegetaion that narrows pathway",-123.350770775997,48.4363693235697
311,2021-10-22 23:12:00,"hazard-concern","crossing issue","crosswalk needed","where the continuation of the bike path from Circle Dr. meets the new Dallas Rd. multi use path. There are no pavement markings to indicate an area of potential conflict, nor a crosswalk even though there is a path intersection. Poor visibility for bikes heading west, due to trees. The design standard for the forcemain improvements said that all pedestrian crossings of the bike path would be given with pavement markings. I have had close calls and observed others have them","crosswalk needed",-123.3622737369,48.4081234112677
312,2021-10-28 01:16:17,"hazard-concern","side walk infrastructure issue","obstruction - pole (hydro, telephone)","Pole in the middle of the sidewalk and an overgrown bush on side. There is not enough room for a stroller to fit through the gap and so they have to go on to the road! ","obstruction - pole (hydro, telephone)",-123.369712110446,48.4315187093271
314,2021-10-28 01:16:35,"hazard-concern","side walk infrastructure issue","other","Lots of garbage alongside the sidewalk","side walk infrastructure issue (other)",-123.367308940228,48.4341755285016
316,2021-10-28 01:16:35,"hazard-concern","side walk infrastructure issue","obstruction - vegetaion that narrows pathway","Very narrow space between hydro pole and overgrown bush","obstruction - vegetaion that narrows pathway",-123.365385995535,48.4311670974046
317,2021-10-28 01:16:35,"hazard-concern","crossing issue","conflict with vehicles turning right","The pedestrian island is too small. People overflow onto the street on a regular basis (less often during pandemic)","conflict with vehicles turning right",-123.368727771141,48.4207328083973
318,2021-10-28 01:16:35,"hazard-concern","crossing issue","other","The areas for pedestrians to wait on this corner are too small. ","crossing issue (other)",-123.368274956098,48.4229268582118
320,2021-10-22 13:35:00,"hazard-concern","safety/comfort concern","personal safety - inaequate lighting","There is no lighting in sč̓əmaθən | Peter Pollen Waterfront Park","personal safety - inaequate lighting",-123.376853982424,48.4243904648844
321,2021-10-31 00:53:17,"hazard-concern","safety/comfort concern","other users - dogs","Off leash dog running and jumping at people. Owners were nearby and not able to control their dog.","other users - dogs",-123.467531772868,48.4685470017458
324,2021-10-29 16:00:00,"hazard-concern","safety/comfort concern","other","school zone sign is obstructed by streetlight","safety/comfort concern (other)",-123.361201838223,48.4702670906543
326,2021-11-03 00:05:26,"hazard-concern","safety/comfort concern","other users - bicycle","Road has no bike lane. CArs are moving very fast and there is no access to the other side of the highway that is safe for walkers bikes rollers","other users - bicycle",-123.497032233246,48.4575495064582
328,2021-11-04 15:40:08,"hazard-concern","safety/comfort concern","other","Visibilité difficile en raison de la végétation","safety/comfort concern (other)",-73.5801265907865,45.4569752175562
332,2021-11-04 17:29:04,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Drivers ignore left turn lights and put pedestrians at risk ","drivers don't stop or yield to pedestrians",-123.428700558006,48.4665393555714
334,2021-09-30 20:35:00,"hazard-concern","crossing issue","signal - pedestrian interval too short","Si nous ne sommes pas directement sur le coin de la rue prêt à traverser, il est impossible de traverser sans courrir ou nous partons sur la main clignotante. Le bouton d'appel ''inversé'', il arrive fréquemment que nous ne soyons pas dans l'axe de la traverse. Nous obligeant soit à traverser illégalement soit à attendre longtemps (aux quatre-vents) le prochain feu pitéon. Problématique peu sécuritaire considérant la présence de nombreuses résidences pour personnes âgées.","signal - pedestrian interval too short",-73.609744450111,45.447787771392
335,2021-09-01 15:08:00,"hazard-concern","crossing issue","signal - button difficult to access","Le positionnement des boutons d'appel semble être inverser. Ils ne sont pas positionner de façon instinctive. C'est à dire qu'on doit dévier de notre axe pour appuyer sur le bouton d'appel pour effectuer notre traversée. Résultat, on appuie sur le mauvais bouton d'appel et on attend longtemps et les piétons s'impatientent et traversent illégalement.
 
","signal - button difficult to access",-73.6096917706922,45.4477762221042
336,2021-09-01 15:08:00,"hazard-concern","crossing issue","signal - wait time to cross too long","Le piéton finit par s'impatienter et traverser illégalement.","signal - wait time to cross too long",-73.6097521793229,45.4477580796318
337,2021-09-01 15:08:00,"hazard-concern","crossing issue","other","Le refuge-piéton est trop étroit et le flux autoroutier est trop important pour s'y sentir en sécurité. Il est d'ailleurs trop étroit pour attendre avec une poussette. 

Les piétons traversent illégalement plutôt que d'y attendre.","crossing issue (other)",-73.6097593572535,45.4477480081428
338,2021-11-05 13:49:34,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Les automobilistes roulent rapidement et ne respectent pas la priorité des piétons, malgré la présence d'un passage pour piéton. ","drivers don't stop or yield to pedestrians",-73.5849178393189,45.460926354223
341,2021-11-05 13:49:34,"hazard-concern","crossing issue","conflict with vehicles turning right","Les véhicules roulent vites et s'arrêtent pas systématique au passage d'un piéton. En tant que piéton, il faut être hyper vigilant pour traverser en regardant derrière nous constamment pour voir si un véhicule arrive (difficile à anticiper avec le tournant de la rue Drake). ","conflict with vehicles turning right",-73.5810931962071,45.4625170118179
342,2021-11-06 00:35:00,"hazard-concern","side walk infrastructure issue","too narrrow","The south west corner of Cook and Bay is extremely narrow. This makes it very to wait here to cross, particularly if you have a stroller or any mobility device.","too narrrow",-123.352315951788,48.4350199498003
343,2021-11-02 14:00:00,"hazard-concern","crossing issue","conflict with vehicles turning righton red","Turning from Tillicum onto Gorge Road West cars don't look for pedestrians with walk sign and right of way to walk.  Many issues at this intersection with cars going through red light, speed, going straight on turn lights.  Be aware when walking this area.  ","conflict with vehicles turning righton red",-123.400281061575,48.4478405882517
346,2021-11-09 23:42:00,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Drivers are constantly speeding in this area of Quadra. It goes from 40 to 50 km just after Tolmie and everyone speeds up then goes down the hill before Inverness and they pick up speed while doing so.","vehicles - speed makes uncomfortable",-123.360679690086,48.4524061818621
348,2021-11-10 23:49:01,"hazard-concern","safety/comfort concern","other users - bicycle","There is no bike lane over the bridge on either side. The existing temporary lane on the west side forces cyclists into traffic.","other users - bicycle",-123.401205472648,48.4467452665443
350,2021-11-11 00:48:29,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Drivers speed along Military Road, often blowing through the crosswalk or screeching to a halt. ","drivers don't stop or yield to pedestrians",-52.7070344060975,47.5701441440911
351,2021-11-11 02:20:35,"hazard-concern","safety/comfort concern","other users - mobility scooters/electric wheelchairs","There is no way to cross Tillicum Bridge safely besides the underpass pedestrian path. However, the slope of this path is really steep and becomes slippery in leaves and ice in the winter. ","other users - mobility scooters/electric wheelchairs",-123.401670389911,48.4460637360491
355,2021-10-23 21:10:00,"hazard-concern","safety/comfort concern","other users - bicycle","Bicycle crossing paint leads cyclists to believe stop signs don't apply to them, leading to failure to yield to pedestrians (and sometimes vehicles)","other users - bicycle",-123.358225641682,48.418319915186
356,2021-11-09 23:15:00,"hazard-concern","safety/comfort concern","other","Timing of signals makes it difficult for vehicles to turn onto douglas, leading to conflicts between pedestrians and cars.","safety/comfort concern (other)",-123.366053104444,48.4221902676086
358,2021-11-13 23:04:00,"hazard-concern","crossing issue","poor visibility of pedestrians","Peden visibility at the corner of Simcoe and Government especially for a walker west on the south side due to parked cars and trucks on the east side of Government. ","poor visibility of pedestrians",-123.407520939453,48.4270528923485
360,2021-11-14 21:32:30,"hazard-concern","crossing issue","conflict with vehicles turning right","I have had a number of close calls trying to cross Gorge Road heading south as drivers trying to turn right onto Gorge focus their attention to their left.  I’ve also had the same issue crossing northwards with the light.","conflict with vehicles turning right",-123.400537819018,48.4478055189936
361,2021-11-14 06:32:00,"hazard-concern","safety/comfort concern","other","The island where pedestrians must stand to cross Tillicum or Gorge Roads is completely exposed to northbound traffic, often travelling at speed around a curve.","safety/comfort concern (other)",-123.40029238974,48.4477053381301
363,2021-11-17 19:40:17,"hazard-concern","side walk infrastructure issue","obstruction - inadequate or lack of safe detour for pedestrians","The west sidewalk is closed, the street is often blocked with construction equipment and vehicles. Often there are no safety persons on site.","obstruction - inadequate or lack of safe detour for pedestrians",-123.147987863187,49.2684596488194
364,2021-11-17 16:30:00,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Drivers seem unaware that there is a crossing light for pedestrians.  They speed through the crosswalk and we have been almost hit a couple of times.  The crossing light is only a few months old, it is not bright enough and it is set too high. the light s should be lowered and should be brighter.","drivers don't stop or yield to pedestrians",-122.834317966944,49.0348351808392
369,2021-10-15 00:15:00,"hazard-concern","side walk infrastructure issue","too narrrow","This sidewalk is used by both cyclists and pedestrians and it isn't wide enough to safely accommodate both  types of users. ","too narrrow",-122.961310436999,49.2143295458998
370,2021-10-15 00:12:00,"hazard-concern","side walk infrastructure issue","too narrrow","This sidewalk is a narrowing of the new urban trail along Rumble Street. This is a popular cycling route and its too narrow for pedestrians and cyclists to safely travel. It is also along a school which is a high pedestrian traffic zone. ","too narrrow",-122.9845154261,49.2149734390017
371,2021-11-14 15:36:00,"hazard-concern","safety/comfort concern","other users - bicycle","Road is not seamed evenly, potholes and ruts make it unsafe","other users - bicycle",-72.6604897700367,41.7180039680569
372,2021-11-18 05:05:54,"hazard-concern","crossing issue","signal - pedestrian interval too short","The time to cross the street is very short due to the width of the street especially for older people or people with disabilities. ","signal - pedestrian interval too short",-122.964604703906,49.2595991539992
373,2021-11-20 02:00:20,"hazard-concern","side walk infrastructure issue","obstruction - uneven sidewalk (eg. roots, holes, cracks)","There's a sidewalk panel that is raised on the north side.Tripping hazard!","obstruction - uneven sidewalk (eg. roots, holes, cracks)",-123.429507607085,48.4526853808215
376,2021-11-21 02:58:06,"hazard-concern","side walk infrastructure issue","obstruction - uneven sidewalk (eg. roots, holes, cracks)","On the path up the hill to Admirals there are tons of buckling in the asphalt.","obstruction - uneven sidewalk (eg. roots, holes, cracks)",-123.421610830188,48.4528056208419
378,2021-11-22 15:10:00,"hazard-concern","crossing issue","crosswalk needed","This is a weird place to try and cross. Vehicles are often coming from all directions, driving along, or turning onto Inverness and it makes it a real hassle to try and cross the road from the park. ","crosswalk needed",-123.362835613536,48.4521423148221
380,2021-11-19 15:09:00,"hazard-concern","side walk infrastructure issue","slope issues (eg. driveways)","Mobility Aid Users + those with disabilities beware of Green Street.
Driveways severely slopped you can tip over or roll out into road.
I recommend walking on the road. instead. Watch for 2 way traffic!","slope issues (eg. driveways)",-123.357067070001,48.4315098977109
385,2021-11-24 23:03:00,"hazard-concern","crossing issue","poor visibility of pedestrians","Northbound traffic has a blind corner and hill just before the cross walk.  Southbound traffic   comes downhill onto the crosswalk from the highway.  This is a major route to school and the only access to the Galloping Goose from this end of our community.","poor visibility of pedestrians",-123.409186033969,48.4584570238877
388,2021-11-19 21:12:00,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","The bike lane ends awkwardly. Cyclists must cross a turn lane and then proceed southwards without a lane.  ","vehicles - speed makes uncomfortable",-123.395779445998,48.4520318680043
389,2021-11-09 19:12:00,"hazard-concern","crossing issue","signal - pedestrian interval too short","There is a seniors centre on one side of Tillicum and a mall on the other side.  Mobility challenged seniors struggle to get across too many lanes of traffic in time. Traffic is heavy, moving quickly and racing for lanes and there are many near misses.","signal - pedestrian interval too short",-123.393019399288,48.4544121939542
390,2021-11-26 19:13:28,"hazard-concern","crossing issue","crosswalk needed","To access the south side of Francis/King Regional Park from the parking area, pedestrians must cross Munn Road without a crosswalk. Visibility is poor as cars come around a corner from the south. There is no other way to access the south side of the park except to J walk. ","crosswalk needed",-123.444875752748,48.4840243308725
392,2021-11-26 22:06:52,"hazard-concern","weather related or seasonal","leaves","Leaves in separated bike lane","leaves",-123.097130259034,44.045483706911
393,2021-11-26 17:33:00,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Night riders of motorcycles wake people up  nearby","vehicles - speed makes uncomfortable",138.605800546894,-34.8074687851006
394,2021-11-10 15:20:00,"hazard-concern","side walk infrastructure issue","obstruction - sign blocking path","there is a construction sign partially blocking the sidewalk and bike lane.","obstruction - sign blocking path",-123.446010704991,48.4647719556483
395,2021-11-10 15:21:00,"hazard-concern","side walk infrastructure issue","obstruction - parked vehicles or delivery vans","there is a construction pick up truck completely blocking the sidewalk and part of the bike lane.
the vehicle is not unloading or loading and there is parking further up the road.","obstruction - parked vehicles or delivery vans",-123.445114629707,48.4644812170888
399,2021-11-29 02:43:08,"hazard-concern","crossing issue","drivers don't stop or yield to pedestrians","Both directions, traffic do not stop. Road is at a slope and also blind corners so cars don’t see pedestrians and do not slow down or stop for pedestrians","drivers don't stop or yield to pedestrians",-123.513113714261,48.4751537588983
400,2021-11-29 22:08:08,"hazard-concern","safety/comfort concern","other","When I'm walking along 8th avenue and approaching Bulkley Drive, I walk on the lefthand side of the road opposing traffic becasue there is no sidewalk. At this 3-way-intersection though, travelling along 8th towards Sunnypoint, I find vehicles quickly turn right from Bulkley Valley entering 8th and often don't see me, especially with darker days of winter. I have had a couple of near-misses. ","safety/comfort concern (other)",-127.163869958246,54.7887786152479
401,2021-11-30 00:01:00,"hazard-concern","crossing issue","conflict with vehicles turning left","Vehicles turn left (turning NW onto Island Hwy) without being able to clear the intersection blocking the crosswalk. This happens often at peak times.","conflict with vehicles turning left",-123.424757465127,48.4510730241497
402,2021-11-29 23:30:00,"hazard-concern","side walk infrastructure issue","obstruction - uneven sidewalk (eg. roots, holes, cracks)","Almost tripped on a lifted block of the sidewalk.","obstruction - uneven sidewalk (eg. roots, holes, cracks)",-123.422838864147,48.4502851090898
403,2021-11-29 23:30:00,"hazard-concern","side walk infrastructure issue","obstruction - pole (hydro, telephone)","At the bus stop the sidewalk is very narrow with both the bus stop sign and a hydro pole.","obstruction - pole (hydro, telephone)",-123.424344658884,48.4509331898107
404,2021-11-30 21:41:57,"hazard-concern","weather related or seasonal","ice","Uneven and slippery ice packed spots","ice",-97.1115616434903,49.8759345868741
405,2021-11-26 19:49:00,"hazard-concern","crossing issue","other","Crosswalk is up the hill from the trail crossing and thus no one ever uses it - making it confusing for drivers and unsafe.","crossing issue (other)",-123.40614948416,48.479226440679
406,2021-11-30 23:58:40,"hazard-concern","crossing issue","poor visibility of pedestrians","People speed and can’t see us pedestrians as we try to cross. Someone is going to get in an accident t and serious injuries ","poor visibility of pedestrians",-123.513155310439,48.4753116195597
408,2021-12-01 04:11:46,"hazard-concern","safety/comfort concern","vehicles - speed makes uncomfortable","Tillicum road
Sidewalks are very narrow, vehicles go very fast. Very unsafe. ","vehicles - speed makes uncomfortable",-123.397550112016,48.4506019887332
412,2021-12-01 15:50:56,"hazard-concern","side walk infrastructure issue","uncomfortable service (for wheelchairs, etc.)","Uneven, sloped sidewalk with a raised manhole in the middle. Frequently blocked by parked cars. ","uncomfortable service (for wheelchairs, etc.)",-123.413097031633,48.4562588590204
413,2021-11-30 22:00:00,"hazard-concern","side walk infrastructure issue","obstruction - inadequate or lack of safe detour for pedestrians","Sidewalk turns sharp and slopes towards intersection on busy street,  Has been reported to the Town of Sidney a number of times.","obstruction - inadequate or lack of safe detour for pedestrians",-123.402159477215,48.652166176548
416,2021-11-30 23:44:00,"hazard-concern","safety/comfort concern","other","Trail is falling away at edge of fence. Land underneath is slumping. City says their engineers will be asked to look at it next year. Fence is Yukon Government airport fence. This trail is a long-established trail and has been at risk for decades at this spot.","safety/comfort concern (other)",-135.056602578357,60.7100708347591
421,2021-12-01 23:17:25,"hazard-concern","safety/comfort concern","other users - dogs","Dogs not on leashes. They are not well under control .
No enforcement ","other users - dogs",-123.464246885766,48.4237489815401
